pk,wordlist_pk,code_wals,code_iso,code_glottolog,classification_wals,classification_ethnologue,classification_glottolog,number_of_speakers,recently_extinct,long_extinct,year_of_extinction,id,word,loan,wals_genus,wals_family,ethnologue_family,glottolog_family,id,name,description,markup_description,latitude,longitude
3736,3736,eng,eng,stan1293,IE.GERMANIC,"Indo-European,Germanic,West,English","Indo-European,ClassicalIndo-European,Germanic,NorthwestGermanic,WestGermanic,NorthSeaGermanic,Anglo-Frisian,Anglic,LaterAnglic,Middle-ModernEnglish,Macro-English",369935930,false,false,,1 I,Ei //,FALSE,GERMANIC,IE,Indo-European,Indo-European,ENGLISH,English,,,52,0
,,,,,,,,,,,,2 you,yu //,FALSE,,,,,,,,,,
,,,,,,,,,,,,3 we,wi //,FALSE,,,,,,,,,,
,,,,,,,,,,,,4 this,8is //,FALSE,,,,,,,,,,
,,,,,,,,,,,,5 that,8Et //,FALSE,,,,,,,,,,
,,,,,,,,,,,,6 who,hu //,FALSE,,,,,,,,,,
,,,,,,,,,,,,7 what,wh~at //,FALSE,,,,,,,,,,
,,,,,,,,,,,,8 not,nat //,FALSE,,,,,,,,,,
,,,,,,,,,,,,9 all,ol //,FALSE,,,,,,,,,,
,,,,,,,,,,,,10 many,mini //,FALSE,,,,,,,,,,
,,,,,,,,,,,,11 one,w3n //,FALSE,,,,,,,,,,
,,,,,,,,,,,,12 two,tu //,FALSE,,,,,,,,,,
,,,,,,,,,,,,13 big,big //,FALSE,,,,,,,,,,
,,,,,,,,,,,,14 long,loN //,FALSE,,,,,,,,,,
,,,,,,,,,,,,15 small,"smal, litl //",FALSE,,,,,,,,,,
,,,,,,,,,,,,16 woman,wum3n //,FALSE,,,,,,,,,,
,,,,,,,,,,,,17 man,mEn //,FALSE,,,,,,,,,,
,,,,,,,,,,,,18 person,%prs3n //,TRUE,,,,,,,,,,
,,,,,,,,,,,,19 fish,fiS //,FALSE,,,,,,,,,,
,,,,,,,,,,,,20 bird,b3rd //,FALSE,,,,,,,,,,
,,,,,,,,,,,,21 dog,dag //,FALSE,,,,,,,,,,
,,,,,,,,,,,,22 louse,laus //,FALSE,,,,,,,,,,
,,,,,,,,,,,,23 tree,tri //,FALSE,,,,,,,,,,
,,,,,,,,,,,,24 seed,sid //,FALSE,,,,,,,,,,
,,,,,,,,,,,,25 leaf,lif //,FALSE,,,,,,,,,,
,,,,,,,,,,,,26 root,rut //,FALSE,,,,,,,,,,
,,,,,,,,,,,,27 bark,%bark //,TRUE,,,,,,,,,,
,,,,,,,,,,,,28 skin,%skin //,TRUE,,,,,,,,,,
,,,,,,,,,,,,29 flesh,"flES, mit //",FALSE,,,,,,,,,,
,,,,,,,,,,,,30 blood,bl3d //,FALSE,,,,,,,,,,
,,,,,,,,,,,,31 bone,bon //,FALSE,,,,,,,,,,
,,,,,,,,,,,,32 grease,%gris //,TRUE,,,,,,,,,,
,,,,,,,,,,,,33 egg,%eg //,TRUE,,,,,,,,,,
,,,,,,,,,,,,34 horn,horn //,FALSE,,,,,,,,,,
,,,,,,,,,,,,35 tail,tel //,FALSE,,,,,,,,,,
,,,,,,,,,,,,36 feather,fE8r //,FALSE,,,,,,,,,,
,,,,,,,,,,,,37 hair,hEr //,FALSE,,,,,,,,,,
,,,,,,,,,,,,38 head,hEd //,FALSE,,,,,,,,,,
,,,,,,,,,,,,39 ear,ir //,FALSE,,,,,,,,,,
,,,,,,,,,,,,40 eye,Ei //,FALSE,,,,,,,,,,
,,,,,,,,,,,,41 nose,noz //,FALSE,,,,,,,,,,
,,,,,,,,,,,,42 mouth,mau8 //,FALSE,,,,,,,,,,
,,,,,,,,,,,,43 tooth,tu8 //,FALSE,,,,,,,,,,
,,,,,,,,,,,,44 tongue,t3N //,FALSE,,,,,,,,,,
,,,,,,,,,,,,45 claw,klo //,FALSE,,,,,,,,,,
,,,,,,,,,,,,46 foot,fut //,FALSE,,,,,,,,,,
,,,,,,,,,,,,47 knee,ni //,FALSE,,,,,,,,,,
,,,,,,,,,,,,48 hand,hEnd //,FALSE,,,,,,,,,,
,,,,,,,,,,,,49 belly,bEli //,FALSE,,,,,,,,,,
,,,,,,,,,,,,50 neck,nEk //,FALSE,,,,,,,,,,
,,,,,,,,,,,,51 breast,brEst //,FALSE,,,,,,,,,,
,,,,,,,,,,,,52 heart,hart //,FALSE,,,,,,,,,,
,,,,,,,,,,,,53 liver,liv3r //,FALSE,,,,,,,,,,
,,,,,,,,,,,,54 drink,driNk //,FALSE,,,,,,,,,,
,,,,,,,,,,,,55 eat,it //,FALSE,,,,,,,,,,
,,,,,,,,,,,,56 bite,bEit //,FALSE,,,,,,,,,,
,,,,,,,,,,,,57 see,si //,FALSE,,,,,,,,,,
,,,,,,,,,,,,58 hear,hir //,FALSE,,,,,,,,,,
,,,,,,,,,,,,59 know,no //,FALSE,,,,,,,,,,
,,,,,,,,,,,,60 sleep,slip //,FALSE,,,,,,,,,,
