pk,wordlist_pk,code_wals,code_iso,code_glottolog,classification_wals,classification_ethnologue,classification_glottolog,number_of_speakers,recently_extinct,long_extinct,year_of_extinction,id,word,loan,wals_genus,wals_family,ethnologue_family,glottolog_family,id,name,description,markup_description,latitude,longitude
4133,4133,fre,fra,stan1290,IE.ROMANCE,"Indo-European,Italic,Romance,Italo-Western,Western,Gallo-Iberian,Gallo-Romance,Gallo-Rhaetian,Oil,French","Indo-European,ClassicalIndo-European,Italic,Latino-Faliscan,Latinic,ImperialLatin,Romance,Italo-WesternRomance,WesternRomance,ShiftedWesternRomance,NorthwesternShiftedRomance,Gallo-Rhaetian,Oil,CentralOil,Macro-French,GlobalFrench",79579970,false,false,,1 I,j3 //,FALSE,ROMANCE,IE,Indo-European,Indo-European,FRENCH,French,,,48,2
,,,,,,,,,,,,2 you,"ti, vu //",FALSE,,,,,,,,,,
,,,,,,,,,,,,3 we,nu //,FALSE,,,,,,,,,,
,,,,,,,,,,,,4 this,s3si //,FALSE,,,,,,,,,,
,,,,,,,,,,,,5 that,s3la //,FALSE,,,,,,,,,,
,,,,,,,,,,,,6 who,ki //,FALSE,,,,,,,,,,
,,,,,,,,,,,,7 what,kwa //,FALSE,,,,,,,,,,
,,,,,,,,,,,,8 not,n3 pa //,FALSE,,,,,,,,,,
,,,,,,,,,,,,9 all,tu //,FALSE,,,,,,,,,,
,,,,,,,,,,,,10 many,boku //,FALSE,,,,,,,,,,
,,,,,,,,,,,,11 one,oe* //,FALSE,,,,,,,,,,
,,,,,,,,,,,,12 two,de //,FALSE,,,,,,,,,,
,,,,,,,,,,,,13 big,gra* //,FALSE,,,,,,,,,,
,,,,,,,,,,,,14 long,lo* //,FALSE,,,,,,,,,,
,,,,,,,,,,,,15 small,p3ti //,FALSE,,,,,,,,,,
,,,,,,,,,,,,16 woman,fam //,FALSE,,,,,,,,,,
,,,,,,,,,,,,17 man,om //,FALSE,,,,,,,,,,
,,,,,,,,,,,,18 person,om //,FALSE,,,,,,,,,,
,,,,,,,,,,,,19 fish,pw~aso* //,FALSE,,,,,,,,,,
,,,,,,,,,,,,20 bird,wazo //,FALSE,,,,,,,,,,
,,,,,,,,,,,,21 dog,Sia* //,FALSE,,,,,,,,,,
