pk,wordlist_pk,code_wals,code_iso,code_glottolog,classification_wals,classification_ethnologue,classification_glottolog,number_of_speakers,recently_extinct,long_extinct,year_of_extinction,id,word,loan,wals_genus,wals_family,ethnologue_family,glottolog_family,id,name,description,markup_description,latitude,longitude
3772,3772,gbl,deu,stan1295,IE.GERMANIC,"Indo-European,Germanic,West,HighGerman,German,MiddleGerman,EastMiddleGerman","Indo-European,ClassicalIndo-European,Germanic,NorthwestGermanic,WestGermanic,HighGerman,UpperGerman,Middle-ModernHighGerman,ModernHighGerman,UpperFranconian,GlobalGerman",76540740,false,false,,1 I,iS //,FALSE,GERMANIC,IE,Indo-European,Indo-European,STANDARD_GERMAN_2,Standard German 2,,,52,10
,,,,,,,,,,,,2 you,du //,FALSE,,,,,,,,,,
,,,,,,,,,,,,3 we,via //,FALSE,,,,,,,,,,
,,,,,,,,,,,,4 this,dis //,FALSE,,,,,,,,,,
,,,,,,,,,,,,5 that,das //,FALSE,,,,,,,,,,
,,,,,,,,,,,,6 who,fea //,FALSE,,,,,,,,,,
,,,,,,,,,,,,7 what,vas //,FALSE,,,,,,,,,,
,,,,,,,,,,,,8 not,niSt //,FALSE,,,,,,,,,,
,,,,,,,,,,,,9 all,ales //,FALSE,,,,,,,,,,
,,,,,,,,,,,,11 one,ains //,FALSE,,,,,,,,,,
,,,,,,,,,,,,12 two,cvai //,FALSE,,,,,,,,,,
,,,,,,,,,,,,13 big,gXos //,FALSE,,,,,,,,,,
,,,,,,,,,,,,14 long,laN //,FALSE,,,,,,,,,,
,,,,,,,,,,,,15 small,klain //,FALSE,,,,,,,,,,
,,,,,,,,,,,,16 woman,fXau //,FALSE,,,,,,,,,,
,,,,,,,,,,,,17 man,man //,FALSE,,,,,,,,,,
,,,,,,,,,,,,18 person,mEnS //,FALSE,,,,,,,,,,
,,,,,,,,,,,,19 fish,fiS //,FALSE,,,,,,,,,,
,,,,,,,,,,,,20 bird,fog3l //,FALSE,,,,,,,,,,
,,,,,,,,,,,,21 dog,hunt //,FALSE,,,,,,,,,,
,,,,,,,,,,,,22 louse,laus //,FALSE,,,,,,,,,,
,,,,,,,,,,,,23 tree,baum //,FALSE,,,,,,,,,,
,,,,,,,,,,,,24 seed,zat //,FALSE,,,,,,,,,,
,,,,,,,,,,,,25 leaf,blat //,FALSE,,,,,,,,,,
,,,,,,,,,,,,26 root,vuac3l //,FALSE,,,,,,,,,,
,,,,,,,,,,,,27 bark,Xind3 //,FALSE,,,,,,,,,,
,,,,,,,,,,,,28 skin,haut //,FALSE,,,,,,,,,,
,,,,,,,,,,,,29 flesh,flaiS //,FALSE,,,,,,,,,,
,,,,,,,,,,,,30 blood,blut //,FALSE,,,,,,,,,,
,,,,,,,,,,,,31 bone,knoX3n //,FALSE,,,,,,,,,,
,,,,,,,,,,,,32 grease,fEt //,FALSE,,,,,,,,,,
,,,,,,,,,,,,33 egg,ai //,FALSE,,,,,,,,,,
,,,,,,,,,,,,34 horn,hoan //,FALSE,,,,,,,,,,
,,,,,,,,,,,,35 tail,Svanc //,FALSE,,,,,,,,,,
,,,,,,,,,,,,36 feather,feda //,FALSE,,,,,,,,,,
,,,,,,,,,,,,37 hair,haa //,FALSE,,,,,,,,,,
,,,,,,,,,,,,38 head,kopf //,FALSE,,,,,,,,,,
,,,,,,,,,,,,39 ear,oa //,FALSE,,,,,,,,,,
,,,,,,,,,,,,40 eye,aug3 //,FALSE,,,,,,,,,,
,,,,,,,,,,,,41 nose,naz3 //,FALSE,,,,,,,,,,
,,,,,,,,,,,,42 mouth,munt //,FALSE,,,,,,,,,,
,,,,,,,,,,,,43 tooth,can //,FALSE,,,,,,,,,,
