pk,wordlist_pk,code_wals,code_iso,code_glottolog,classification_wals,classification_ethnologue,classification_glottolog,number_of_speakers,recently_extinct,long_extinct,year_of_extinction,id,word,loan,wals_genus,wals_family,ethnologue_family,glottolog_family,id,name,description,markup_description,latitude,longitude
4467,4467,jpn,jpn,nucl1643,Jap.JAPANESE,Japonic,"Japonic,Japanesic,Japan-TaiwanJapanese",126257610,false,false,,1 I,wataSi //,FALSE,JAPANESE,Jap,Japonic,Japonic,JAPANESE,Japanese,,,37,140
,,,,,,,,,,,,2 you,anata //,FALSE,,,,,,,,,,
,,,,,,,,,,,,3 we,wareware //,FALSE,,,,,,,,,,
,,,,,,,,,,,,4 this,kono //,FALSE,,,,,,,,,,
,,,,,,,,,,,,5 that,"sono, ano //",FALSE,,,,,,,,,,
,,,,,,,,,,,,6 who,tare //,FALSE,,,,,,,,,,
,,,,,,,,,,,,7 what,nan no //,FALSE,,,,,,,,,,
,,,,,,,,,,,,8 not,"de nai, Si nai //",FALSE,,,,,,,,,,
,,,,,,,,,,,,9 all,"subete, mina //",FALSE,,,,,,,,,,
,,,,,,,,,,,,10 many,tasu //,FALSE,,,,,,,,,,
,,,,,,,,,,,,11 one,hitocu //,FALSE,,,,,,,,,,
,,,,,,,,,,,,12 two,futacu //,FALSE,,,,,,,,,,
,,,,,,,,,,,,13 big,"okina, erai //",FALSE,,,,,,,,,,
,,,,,,,,,,,,14 long,nagai //,FALSE,,,,,,,,,,
,,,,,,,,,,,,15 small,Cisai //,FALSE,,,,,,,,,,
,,,,,,,,,,,,16 woman,onna //,FALSE,,,,,,,,,,
,,,,,,,,,,,,17 man,"hito, otoko //",FALSE,,,,,,,,,,
,,,,,,,,,,,,18 person,"hito, jintai //",FALSE,,,,,,,,,,
,,,,,,,,,,,,19 fish,uo //,FALSE,,,,,,,,,,
,,,,,,,,,,,,20 bird,tori //,FALSE,,,,,,,,,,
,,,,,,,,,,,,21 dog,inu //,FALSE,,,,,,,,,,
,,,,,,,,,,,,23 tree,ki //,FALSE,,,,,,,,,,
,,,,,,,,,,,,24 seed,tane //,FALSE,,,,,,,,,,
,,,,,,,,,,,,25 leaf,kono ha //,FALSE,,,,,,,,,,
,,,,,,,,,,,,26 root,ne //,FALSE,,,,,,,,,,
,,,,,,,,,,,,27 bark,kigawa //,FALSE,,,,,,,,,,
,,,,,,,,,,,,28 skin,"kawa, %hifu //",TRUE,,,,,,,,,,
,,,,,,,,,,,,29 flesh,niku //,FALSE,,,,,,,,,,
,,,,,,,,,,,,30 blood,Ci //,FALSE,,,,,,,,,,
,,,,,,,,,,,,31 bone,hone //,FALSE,,,,,,,,,,
,,,,,,,,,,,,32 grease,juSi //,FALSE,,,,,,,,,,
,,,,,,,,,,,,33 egg,tamago //,FALSE,,,,,,,,,,
,,,,,,,,,,,,34 horn,cuno //,FALSE,,,,,,,,,,
,,,,,,,,,,,,35 tail,"o, Sippo //",FALSE,,,,,,,,,,
,,,,,,,,,,,,36 feather,yumo //,FALSE,,,,,,,,,,
,,,,,,,,,,,,37 hair,"ke, tohacu //",FALSE,,,,,,,,,,
,,,,,,,,,,,,38 head,"atama, zuno //",FALSE,,,,,,,,,,
,,,,,,,,,,,,39 ear,mimi //,FALSE,,,,,,,,,,
,,,,,,,,,,,,40 eye,me //,FALSE,,,,,,,,,,
,,,,,,,,,,,,41 nose,hana //,FALSE,,,,,,,,,,
,,,,,,,,,,,,42 mouth,kuCi //,FALSE,,,,,,,,,,
,,,,,,,,,,,,43 tooth,ha //,FALSE,,,,,,,,,,
,,,,,,,,,,,,44 tongue,Sita //,FALSE,,,,,,,,,,
,,,,,,,,,,,,45 claw,cume //,FALSE,,,,,,,,,,
,,,,,,,,,,,,46 foot,aSi //,FALSE,,,,,,,,,,
,,,,,,,,,,,,47 knee,hiza //,FALSE,,,,,,,,,,
,,,,,,,,,,,,48 hand,te //,FALSE,,,,,,,,,,
,,,,,,,,,,,,50 neck,kubi //,FALSE,,,,,,,,,,
,,,,,,,,,,,,51 breast,mune //,FALSE,,,,,,,,,,
,,,,,,,,,,,,52 heart,"Sinzo, kokoro //",FALSE,,,,,,,,,,
,,,,,,,,,,,,54 drink,"nomu, su //",FALSE,,,,,,,,,,
,,,,,,,,,,,,55 eat,tabe //,FALSE,,,,,,,,,,
,,,,,,,,,,,,56 bite,kamu //,FALSE,,,,,,,,,,
,,,,,,,,,,,,57 see,"mi, menkai su //",FALSE,,,,,,,,,,
,,,,,,,,,,,,58 hear,kiku //,FALSE,,,,,,,,,,
,,,,,,,,,,,,59 know,Si //,FALSE,,,,,,,,,,
,,,,,,,,,,,,60 sleep,nemu //,FALSE,,,,,,,,,,
,,,,,,,,,,,,61 die,"Sinu, kare //",FALSE,,,,,,,,,,
,,,,,,,,,,,,62 kill,"korosu, karasu //",FALSE,,,,,,,,,,
,,,,,,,,,,,,63 swim,oyogu //,FALSE,,,,,,,,,,
,,,,,,,,,,,,64 fly,tobu //,FALSE,,,,,,,,,,
,,,,,,,,,,,,65 walk,aruku //,FALSE,,,,,,,,,,
,,,,,,,,,,,,66 come,"ku, yuku //",FALSE,,,,,,,,,,
,,,,,,,,,,,,67 lie,wokotawa //,FALSE,,,,,,,,,,
,,,,,,,,,,,,68 sit,suwa //,FALSE,,,,,,,,,,
,,,,,,,,,,,,69 stand,tacu //,FALSE,,,,,,,,,,
,,,,,,,,,,,,70 give,"atae, make //",FALSE,,,,,,,,,,
,,,,,,,,,,,,71 say,yu //,FALSE,,,,,,,,,,
,,,,,,,,,,,,72 sun,%taiyo //,TRUE,,,,,,,,,,
,,,,,,,,,,,,73 moon,cuki //,FALSE,,,,,,,,,,
,,,,,,,,,,,,74 star,hoSi //,FALSE,,,,,,,,,,
,,,,,,,,,,,,75 water,mizu //,FALSE,,,,,,,,,,
,,,,,,,,,,,,76 rain,"ame, kou //",FALSE,,,,,,,,,,
,,,,,,,,,,,,77 stone,"iSi, koiSi sekizai //",FALSE,,,,,,,,,,
,,,,,,,,,,,,78 sand,suna //,FALSE,,,,,,,,,,
,,,,,,,,,,,,79 earth,"Cikyu, cuCi //",FALSE,,,,,,,,,,
,,,,,,,,,,,,80 cloud,kumo //,FALSE,,,,,,,,,,
,,,,,,,,,,,,81 smoke,"kemuri, kicuen //",FALSE,,,,,,,,,,
,,,,,,,,,,,,82 fire,hi //,FALSE,,,,,,,,,,
,,,,,,,,,,,,83 ash,hai //,FALSE,,,,,,,,,,
,,,,,,,,,,,,84 burn,"moe, wake //",FALSE,,,,,,,,,,
,,,,,,,,,,,,85 path,"komiCi, hodo //",FALSE,,,,,,,,,,
,,,,,,,,,,,,86 mountain,yama //,FALSE,,,,,,,,,,
,,,,,,,,,,,,87 red,akairo no //,FALSE,,,,,,,,,,
,,,,,,,,,,,,88 green,"midori, aoao Sita //",FALSE,,,,,,,,,,
,,,,,,,,,,,,89 yellow,kiro //,FALSE,,,,,,,,,,
,,,,,,,,,,,,90 white,Siroi //,FALSE,,,,,,,,,,
,,,,,,,,,,,,91 black,kuroi //,FALSE,,,,,,,,,,
,,,,,,,,,,,,92 night,yo //,FALSE,,,,,,,,,,
,,,,,,,,,,,,93 hot,acui //,FALSE,,,,,,,,,,
,,,,,,,,,,,,94 cold,"samui, cumetai //",FALSE,,,,,,,,,,
,,,,,,,,,,,,95 full,"miCita, %ippai de //",FALSE,,,,,,,,,,
,,,,,,,,,,,,96 new,"ataraSi, Sinsen //",FALSE,,,,,,,,,,
,,,,,,,,,,,,97 good,yoi //,FALSE,,,,,,,,,,
,,,,,,,,,,,,98 round,marui //,FALSE,,,,,,,,,,
,,,,,,,,,,,,99 dry,kawaita //,FALSE,,,,,,,,,,
,,,,,,,,,,,,100 name,"na, seimei //",FALSE,,,,,,,,,,
