pk,wordlist_pk,code_wals,code_iso,code_glottolog,classification_wals,classification_ethnologue,classification_glottolog,number_of_speakers,recently_extinct,long_extinct,year_of_extinction,id,word,loan,wals_genus,wals_family,ethnologue_family,glottolog_family,id,name,description,markup_description,latitude,longitude
4935,4935,kug,cmn,mand1415,ST.CHINESE,"Sino-Tibetan,Chinese","Sino-Tibetan,Sinitic,Classical-Middle-ModernSinitic,Middle-ModernSinitic,NorthernChinese,Mandarinic",921233120,false,false,,1 I,wo //,FALSE,CHINESE,ST,Sino-Tibetan,Sino-Tibetan,MANDARIN,Mandarin,,,34,110
,,,,,,,,,,,,2 you,ni men //,FALSE,,,,,,,,,,
,,,,,,,,,,,,3 we,wo men //,FALSE,,,,,,,,,,
,,,,,,,,,,,,4 this,"cu, Ce //",FALSE,,,,,,,,,,
,,,,,,,,,,,,5 that,na //,FALSE,,,,,,,,,,
,,,,,,,,,,,,6 who,"Swei, ho jen //",FALSE,,,,,,,,,,
,,,,,,,,,,,,7 what,"Sen mo, cen yaN te //",FALSE,,,,,,,,,,
,,,,,,,,,,,,8 not,buh //,FALSE,,,,,,,,,,
,,,,,,,,,,,,9 all,Cy~uan buh //,FALSE,,,,,,,,,,
,,,,,,,,,,,,10 many,CuN to te //,FALSE,,,,,,,,,,
,,,,,,,,,,,,11 one,i //,FALSE,,,,,,,,,,
,,,,,,,,,,,,12 two,el //,FALSE,,,,,,,,,,
,,,,,,,,,,,,13 big,ta te //,FALSE,,,,,,,,,,
,,,,,,,,,,,,14 long,CarN //,FALSE,,,,,,,,,,
,,,,,,,,,,,,15 small,Seau //,FALSE,,,,,,,,,,
,,,,,,,,,,,,16 woman,fuh neu //,FALSE,,,,,,,,,,
,,,,,,,,,,,,17 man,nan ren //,FALSE,,,,,,,,,,
,,,,,,,,,,,,18 person,jen //,FALSE,,,,,,,,,,
,,,,,,,,,,,,19 fish,yu //,FALSE,,,,,,,,,,
,,,,,,,,,,,,20 bird,neau //,FALSE,,,,,,,,,,
,,,,,,,,,,,,21 dog,gou //,FALSE,,,,,,,,,,
,,,,,,,,,,,,22 louse,Sy~c //,FALSE,,,,,,,,,,
,,,,,,,,,,,,23 tree,Suh //,FALSE,,,,,,,,,,
,,,,,,,,,,,,24 seed,cy~y //,FALSE,,,,,,,,,,
,,,,,,,,,,,,25 leaf,yec //,FALSE,,,,,,,,,,
,,,,,,,,,,,,26 root,gen //,FALSE,,,,,,,,,,
,,,,,,,,,,,,27 bark,Su pi //,FALSE,,,,,,,,,,
,,,,,,,,,,,,28 skin,py~i fu //,FALSE,,,,,,,,,,
,,,,,,,,,,,,29 flesh,jou //,FALSE,,,,,,,,,,
,,,,,,,,,,,,30 blood,Siueh //,FALSE,,,,,,,,,,
,,,,,,,,,,,,31 bone,gw~utou //,FALSE,,,,,,,,,,
,,,,,,,,,,,,32 grease,yu Cih //,FALSE,,,,,,,,,,
,,,,,,,,,,,,33 egg,ji dan //,FALSE,,,,,,,,,,
,,,,,,,,,,,,34 horn,Ciao //,FALSE,,,,,,,,,,
,,,,,,,,,,,,35 tail,woeiba //,FALSE,,,,,,,,,,
,,,,,,,,,,,,36 feather,yumao //,FALSE,,,,,,,,,,
,,,,,,,,,,,,37 hair,tour fa //,FALSE,,,,,,,,,,
,,,,,,,,,,,,38 head,tour //,FALSE,,,,,,,,,,
,,,,,,,,,,,,39 ear,elduo //,FALSE,,,,,,,,,,
,,,,,,,,,,,,40 eye,yean jiN //,FALSE,,,,,,,,,,
,,,,,,,,,,,,41 nose,by~ic //,FALSE,,,,,,,,,,
