pk,wordlist_pk,code_wals,code_iso,code_glottolog,classification_wals,classification_ethnologue,classification_glottolog,number_of_speakers,recently_extinct,long_extinct,year_of_extinction,id,word,loan,wals_genus,wals_family,ethnologue_family,glottolog_family,id,name,description,markup_description,latitude,longitude
4182,4182,spa,spa,stan1288,IE.ROMANCE,"Indo-European,Italic,Romance,Italo-Western,Western,Gallo-Iberian,Ibero-Romance,WestIberian,Castilian","Indo-European,ClassicalIndo-European,Italic,Latino-Faliscan,Latinic,ImperialLatin,Romance,Italo-WesternRomance,WesternRomance,ShiftedWesternRomance,SouthwesternShiftedRomance,WestIbero-Romance,Castilic",471397370,false,false,,1 I,yo //,FALSE,ROMANCE,IE,Indo-European,Indo-European,SPANISH,Spanish,,,40,-4
,,,,,,,,,,,,2 you,"ustet, tu //",FALSE,,,,,,,,,,
,,,,,,,,,,,,3 we,nosotros //,FALSE,,,,,,,,,,
,,,,,,,,,,,,4 this,este //,FALSE,,,,,,,,,,
,,,,,,,,,,,,5 that,"ese, akely~a //",FALSE,,,,,,,,,,
,,,,,,,,,,,,6 who,kien //,FALSE,,,,,,,,,,
,,,,,,,,,,,,7 what,ke //,FALSE,,,,,,,,,,
,,,,,,,,,,,,8 not,no //,FALSE,,,,,,,,,,
,,,,,,,,,,,,9 all,todos //,FALSE,,,,,,,,,,
,,,,,,,,,,,,10 many,muCos //,FALSE,,,,,,,,,,
,,,,,,,,,,,,11 one,uno //,FALSE,,,,,,,,,,
,,,,,,,,,,,,12 two,dos //,FALSE,,,,,,,,,,
,,,,,,,,,,,,13 big,grande //,FALSE,,,,,,,,,,
,,,,,,,,,,,,14 long,largo //,FALSE,,,,,,,,,,
,,,,,,,,,,,,15 small,"peke5o, Ciko //",FALSE,,,,,,,,,,
,,,,,,,,,,,,16 woman,muher //,FALSE,,,,,,,,,,
,,,,,,,,,,,,17 man,ombre //,FALSE,,,,,,,,,,
,,,,,,,,,,,,18 person,persona //,FALSE,,,,,,,,,,
,,,,,,,,,,,,19 fish,"peskado, pes //",FALSE,,,,,,,,,,
,,,,,,,,,,,,20 bird,"ave, paharo //",FALSE,,,,,,,,,,
,,,,,,,,,,,,21 dog,pero //,FALSE,,,,,,,,,,
,,,,,,,,,,,,22 louse,pioho //,FALSE,,,,,,,,,,
,,,,,,,,,,,,23 tree,"arbol, palo //",FALSE,,,,,,,,,,
,,,,,,,,,,,,24 seed,semiya //,FALSE,,,,,,,,,,
,,,,,,,,,,,,25 leaf,oha //,FALSE,,,,,,,,,,
,,,,,,,,,,,,26 root,rais //,FALSE,,,,,,,,,,
,,,,,,,,,,,,27 bark,"kortesa, kaskara //",FALSE,,,,,,,,,,
,,,,,,,,,,,,28 skin,piel //,FALSE,,,,,,,,,,
,,,,,,,,,,,,29 flesh,karne //,FALSE,,,,,,,,,,
,,,,,,,,,,,,30 blood,sangre //,FALSE,,,,,,,,,,
,,,,,,,,,,,,31 bone,weso //,FALSE,,,,,,,,,,
,,,,,,,,,,,,32 grease,grasa //,FALSE,,,,,,,,,,
,,,,,,,,,,,,33 egg,wevo //,FALSE,,,,,,,,,,
,,,,,,,,,,,,34 horn,kw~erno //,FALSE,,,,,,,,,,
,,,,,,,,,,,,35 tail,"kola, rabo //",FALSE,,,,,,,,,,
,,,,,,,,,,,,36 feather,pluma //,FALSE,,,,,,,,,,
,,,,,,,,,,,,37 hair,"pelo, kabeyo //",FALSE,,,,,,,,,,
